DNAK;Akure Airport;Nigeria
DNAS;Asaba International Airport;Nigeria
DNBC;Sir Abubakar Tafawa Balewa International Airport;Nigeria
DNBE;Benin Airport;Nigeria
DNCA;Margaret Ekpo International Airport;Nigeria
DNEN;Akanu Ibiam International Airport;Nigeria
DNGU;Gusau Airport;Nigeria
DNIB;Ibadan Airport;Nigeria
DNIL;Ilorin International Airport;Nigeria
DNIM;Sam Mbakwe International Airport;Nigeria
DNJO;Yakubu Gowon Airport;Nigeria
DNKA;Kaduna Airport;Nigeria
DNKN;Mallam Aminu International Airport;Nigeria
DNMA;Maiduguri International Airport;Nigeria
DNMK;Makurdi Airport;Nigeria
DNMM;Murtala Muhammed International Airport;Nigeria
DNMN;Minna Airport;Nigeria
DNPO;Port Harcourt International Airport;Nigeria
DNSO;Sadiq Abubakar III International Airport;Nigeria
DNYO;Yola Airport;Nigeria
DNZA;Zaria Airport;Nigeria
DRRM;Maradi Airport;Niger
DRRN;Diori Hamani International Airport;Niger
DRRT;Tahoua Airport;Niger
DRZA;Mano Dayak International Airport;Niger
DRZR;Zinder Airport;Niger
DTKA;Tabarka 7 Novembre Airport;Tunisia
DTMB;Monastir Habib Bourguiba International Airport;Tunisia
DTTA;Tunis Carthage International Airport;Tunisia
DTTB;Sidi Ahmed Air Base;Tunisia
DTTD;Remada Air Base;Tunisia
DTTF;Gafsa Ksar International Airport;Tunisia
DTTG;GabÃƒÂ¨s Matmata International Airport;Tunisia
DTTJ;Djerba Zarzis International Airport;Tunisia
DTTR;El Borma Airport;Tunisia
DTTX;Sfax Thyna International Airport;Tunisia
DTTZ;Tozeur Nefta International Airport;Tunisia
DXNG;Niamtougou International Airport;Togo
DXXX;Lomé-Tokoin Airport;Togo
EBAW;Antwerp International Airport (Deurne);Belgium
EBBE;Beauvechain Air Base;Belgium
EBBL;Kleine Brogel Air Base;Belgium
EBBR;Brussels Airport;Belgium
EBCI;Brussels South Charleroi Airport;Belgium
EBCV;ChiÃƒÂ¨vres Air Base;Belgium
EBFN;Koksijde Air Base;Belgium
EBFS;Florennes Air Base;Belgium
EBKT;Wevelgem Airport;Belgium
EBLG;LiÃƒÂ¨ge Airport;Belgium
EBOS;Ostend-Bruges International Airport;Belgium
EDAC;Altenburg-Nobitz Airport;Germany
EDAH;Heringsdorf Airport;Germany
EDBM;"Magdeburg ""City"" Airport";Germany
EDBN;Neubrandenburg Airport;Germany
EDBR;Rothenburg/Gürlitz Airport;Germany
